run_accession	scientific_name	sample_lat	sample_lon	biome	mapping	Assembling
SRR5429799	freshwater	38.08	-75.92	Freshwater	Yes	Yes
SRR5430404	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5430152	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR10466941	freshwater_sediment	55.9225	-3.1724	Freshwater	Yes	Yes
SRR5431173	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR7629281	freshwater_sediment	46.61	-94.16	Freshwater	Yes	Yes
SRR5430756	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5272222	freshwater_sediment	41.7	-86.23	Freshwater	Yes	Yes
SRR5431051	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5430755	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5430203	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5272489	freshwater_sediment	41.7	-86.23	Freshwater	Yes	Yes
SRR5430154	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5429607	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR7629275	freshwater_sediment	44.9	-92.98	Freshwater	Yes	Yes
SRR5272491	freshwater_sediment	41.7	-86.23	Freshwater	Yes	Yes
SRR5430563	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR10466858	freshwater_sediment	55.9232	-3.1878	Freshwater	Yes	Yes
SRR7629274	freshwater_sediment	44.95	-92.98	Freshwater	Yes	Yes
SRR10466942	freshwater_sediment	55.9225	-3.1724	Freshwater	Yes	Yes
SRR5429606	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR10466885	freshwater_sediment	55.9225	-3.1724	Freshwater	Yes	Yes
SRR5431081	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5430597	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR10466901	freshwater_sediment	55.9225	-3.1724	Freshwater	Yes	Yes
SRR7629282	freshwater_sediment	46.61	-94.16	Freshwater	Yes	Yes
SRR7629277	freshwater_sediment	45.09	-93.13	Freshwater	Yes	Yes
SRR10466930	freshwater_sediment	55.9225	-3.1724	Freshwater	Yes	Yes
SRR7629276	freshwater_sediment	45.15	-92.8	Freshwater	Yes	Yes
SRR5430753	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5431183	freshwater_sediment	48.3807	-122.1599	Freshwater	Yes	Yes
SRR5747425	groundwater	36.37	-116.27	Freshwater	Yes	Yes
SRR10598218	groundwater	57.26	16.39	Freshwater	Yes	Yes
SRR8863436	groundwater	39.303	-82.1278	Freshwater	Yes	Yes
SRR5209147	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR3546452	groundwater	45.045278	141.859444	Freshwater	Yes	Yes
SRR8863434	groundwater	39.6974	-83.8897	Freshwater	Yes	Yes
SRR2090175	groundwater	39.5369	-107.7828	Freshwater	Yes	Yes
SRR10598217	groundwater	57.26	16.39	Freshwater	Yes	Yes
SRR5209657	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR5209656	groundwater	46.372	-119.272	Freshwater	Yes	Yes
SRR8931233	groundwater	43.0	-92.5	Freshwater	Yes	Yes
SRR10598220	groundwater	57.26	16.39	Freshwater	Yes	Yes
SRR4308226	groundwater	40.0583	-74.4057	Freshwater	Yes	Yes
