ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
LeChatelierE_2013__MH0205.part-1_379	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Kochitakasuvirus	NA
4_S2_L001_7754	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Alachuavirus	Alachuavirus Xp15
4_S2_L001_8136	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
50m_S10_L004_1499	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_66155	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147676_61140	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Inhavirus	NA
DRR147676_57086	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
4_S2_L001_17001	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	NA	NA
5_S3_L001_11342	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
QinN_2014__LD-63_830	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Riemerella phage RAP44
DRR147672_21269	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Polybotosvirus	Polybotosvirus Atuph07
DRR147672_10270	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Andromedavirus	NA
DRR147674_61590	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125124_392829	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	NA	NA
65m_S11_L005_20982	Viruses	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Rhadinovirus	Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota
50m_S10_L004_4902_1	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Marseillevirus marseillevirus
50m_S10_L004_11676_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	Steigviridae	Akihdevirus	Akihdevirus balticus
50m_S10_L004_17267_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Casjensviridae	NA	NA
LeChatelierE_2013__MH0205.part-1_700	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Cellulophaga phage phi39:1
4_S2_L001_7794	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Rhodococcus phage REQ1
17_S4_L002_12408	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Atlauavirus	Atlauavirus tusconc8
50m_S10_L004_18534	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
