			
			
Samples (NCBI, JGI, MetaSub project)	Lat	Lon	Countries
SRR12002724	1.5813889	104.143611111111	Malaysia
SRR12002725	1.5813889	104.143611111111	Malaysia
SRR12002726	1.5813889	104.143611111111	Malaysia
SRR12002727	1.5813889	104.143611111111	Malaysia
SRR12002728	1.5813889	104.143611111111	Malaysia
SRR12002729	1.5813889	104.143611111111	Malaysia
SRR12002730	1.5813889	104.143611111111	Malaysia
SRR12002731	1.5813889	104.143611111111	Malaysia
SRR12002732	1.5813889	104.143611111111	Malaysia
SRR12002733	1.5813889	104.143611111111	Malaysia
SRR12002734	1.5813889	104.143611111111	Malaysia
SRR12002735	1.5813889	104.143611111111	Malaysia
SRR12002736	1.5813889	104.143611111111	Malaysia
SRR12002737	1.5813889	104.143611111111	Malaysia
SRR12002738	1.5813889	104.143611111111	Malaysia
SRR12002739	1.5813889	104.143611111111	Malaysia
SRR12002740	1.5813889	104.143611111111	Malaysia
SRR12002741	1.5813889	104.143611111111	Malaysia
SRR12002742	1.5813889	104.143611111111	Malaysia
SRR12002743	1.5813889	104.143611111111	Malaysia
SRR12002744	1.5813889	104.143611111111	Malaysia
SRR12002745	1.5813889	104.143611111111	Malaysia
SRR12002746	1.5813889	104.143611111111	Malaysia
SRR12002747	1.5813889	104.143611111111	Malaysia
SRR12002748	1.5813889	104.143611111111	Malaysia
SRR12002749	1.5813889	104.143611111111	Malaysia
SRR12002750	1.5813889	104.143611111111	Malaysia
SRR12002751	1.5813889	104.143611111111	Malaysia
SRR12002752	1.5813889	104.143611111111	Malaysia
SRR12002753	1.5813889	104.143611111111	Malaysia
SRR12002754	1.5813889	104.143611111111	Malaysia
SRR12002755	1.5813889	104.143611111111	Malaysia
SRR12002756	1.5813889	104.143611111111	Malaysia
SRR12002757	1.5813889	104.143611111111	Malaysia
SRR12002758	1.5813889	104.143611111111	Malaysia
SRR12002759	1.5813889	104.143611111111	Malaysia
SRR12002760	1.5813889	104.143611111111	Malaysia
SRR12002761	1.5813889	104.143611111111	Malaysia
SRR12002762	1.5813889	104.143611111111	Malaysia
SRR12002763	1.5813889	104.143611111111	Malaysia
SRR12002764	1.5813889	104.143611111111	Malaysia
SRR12002765	1.5813889	104.143611111111	Malaysia
SRR12002766	1.5813889	104.143611111111	Malaysia
SRR12002767	1.5813889	104.143611111111	Malaysia
SRR12002768	1.5813889	104.143611111111	Malaysia
SRR12002769	1.5813889	104.143611111111	Malaysia
SRR12002770	1.5813889	104.143611111111	Malaysia
SRR12002771	1.5813889	104.143611111111	Malaysia
SRR12002772	1.5813889	104.143611111111	Malaysia
SRR12002773	1.5813889	104.143611111111	Malaysia
SRR12002774	1.5813889	104.143611111111	Malaysia
SRR12002775	1.5813889	104.143611111111	Malaysia
SRR12002776	1.5813889	104.143611111111	Malaysia
SRR12002777	1.5813889	104.143611111111	Malaysia
SRR12002778	1.5813889	104.143611111111	Malaysia
SRR12002779	1.5813889	104.143611111111	Malaysia
SRR12002780	1.5813889	104.143611111111	Malaysia
SRR12002781	1.5813889	104.143611111111	Malaysia
SRR12002782	1.5813889	104.143611111111	Malaysia
SRR12002783	1.5813889	104.143611111111	Malaysia
SRR12002784	1.5813889	104.143611111111	Malaysia
SRR12002785	1.5813889	104.143611111111	Malaysia
SRR12002786	1.5813889	104.143611111111	Malaysia
SRR12002787	1.5813889	104.143611111111	Malaysia
SRR12002788	1.5813889	104.143611111111	Malaysia
SRR12002789	1.5813889	104.143611111111	Malaysia
SRR12002790	1.5813889	104.143611111111	Malaysia
SRR12002791	1.5813889	104.143611111111	Malaysia
SRR12002792	1.5813889	104.143611111111	Malaysia
SRR12002793	1.5813889	104.143611111111	Malaysia
