ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ERR3230149_124727	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230150_69016	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Sextaecvirus	NA
K7GSL311016_6	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230153_74827	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
8067.5.90158.TGGTGA_5410	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230150_226004	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
ERR3230151_180841	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
ERR3230155_200469	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Vibrio phage CHOED
8023.5.90052.GAGTCA_3459	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Fipvunavirus	NA
ERR3230155_148176	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Salasmaviridae	NA	NA
ERR3230149_132170	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
K7GSL311016_45_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
8066.5.90150.AAGAGG_9475	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Hollowayvirus	Hollowayvirus H66
K7GSL311017_148	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Stanholtvirus	Burkholderia phage KS9
8067.5.90158.AACCAG_10073	Viruses	NA	NA	NA	NA	NA	NA	NA
8131.3.91983.GTCGTA_2832	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Bertelyvirus	Bertelyvirus BL9
ERR3230151_364093	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Pervagoviridae	Callevirus	NA
8023.5.90052.GAGTCA_21221	NA	NA	NA	NA	NA	NA	NA	NA
ERR3230148_128803	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Donellivirus	Donellivirus gee
ERR3230155_166870_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
K7GSL311018_759	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Emdodecavirus	NA
ERR3230155_152660	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230155_103664	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230149_156360	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230155_72290	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Rimavirus	NA
8067.2.90157.GTCGTA_10424	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Pahexavirus	NA
8067.4.90153.GTGCTT_2165	Viruses	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Avipoxvirus	Turkeypox virus
8067.2.90157.AAGCCT_7386	Viruses	NA	NA	NA	NA	NA	NA	NA
ERR3230152_268683	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Salacisavirus	Salacisavirus pssm2
K7GSL311015_761	Viruses	Loebvirae	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae	NA	NA
8067.2.90157.AAGCCT_13284	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Lambdavirus	Lambdavirus lvO276
K7GSL311016_621	Viruses	NA	NA	NA	NA	NA	NA	NA
ERR3230152_218378	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Salacisavirus	Salacisavirus pssm2
8023.5.90052.GAGTCA_11767	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
ERR3230152_286712	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230152_125721	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	Lirvirus	Lirvirus SCBP3
ERR3230153_169348	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Rahariannevirus	Rahariannevirus raharianne
8131.3.91983.GTCGTA_1699	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230150_50459	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Sextaecvirus	Sextaecvirus SEP9
