ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
AsnicarF_2017__MV_FEM4_t2Q15_4427	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Phabquatrovirus	Phabquatrovirus PHB04
FengQ_2015__SID530558.part-2_5900	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Planktothrix phage PaV-LD
BackhedF_2015__SID103_12M_84	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	NA	NA	NA	NA
CM_madagascar__A83_02_1FE.part-1_200	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NielsenHB_2014__V1_UC53_4.part-1_7776	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Stormageddonvirus	Stormageddonvirus Stormageddon
BackhedF_2015__SID105_4M_1736	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_M_1496	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Phabquatrovirus	Phabquatrovirus PHB04
AsnicarF_2017__MV_FEM5_t3Q15_1298	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
YuJ_2015__SZAXPI015225-18.part-1_2396	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Bacteroides phage B124-14
BackhedF_2015__SID103_M_5754	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Cimandefvirus	NA
BackhedF_2015__SID105_4M_23	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Geobacillus virus E3
OlmMR_2017__S2_005_015G1_115	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NielsenHB_2014__O2_UC2_0.part-1_2062	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Taranisvirus	Taranisvirus taranis
ZeeviD_2015__PNP_Main_680.part-1_311_fragment_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
KosticAD_2015__PRJNA231909.3112118_532	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Bernalvirus	NA
LeChatelierE_2013__MH0412.part-2_574	Viruses	Sangervirae	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	NA	Alces alces faeces associated microvirus MP21 4718
CM_madagascar__A83_02_1FE.part-1_274	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage phiCP39-O
BackhedF_2015__SID103_M_3981	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Aphroditevirus	NA
SchirmerM_2016__G88853.part-1_1932	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID10_M_2407	Viruses	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	NA	NA
BackhedF_2015__SID10_12M_2304	Viruses	NA	NA	NA	NA	NA	NA	NA
BackhedF_2015__SID128_4M_574	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Ackermannviridae	NA	NA
BackhedF_2015__SID12_4M_801	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	NA	NA	NA	NA
